Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2018","2018","tonnes","19942","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2019","2019","tonnes","16089","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2020","2020","tonnes","18829","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2010","2010","1000 US$","139545","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2011","2011","1000 US$","80095","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2012","2012","1000 US$","60228","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2013","2013","1000 US$","81938","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2014","2014","1000 US$","168601","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2015","2015","1000 US$","145634","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2016","2016","1000 US$","123564","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2017","2017","1000 US$","106928","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2018","2018","1000 US$","104765","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2019","2019","1000 US$","78890","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","664","Cocoa, butter","2020","2020","1000 US$","87995","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","662","Cocoa, paste","2010","2010","tonnes","45092","","Official data"
